Control_ID,Control_Title,Control_Description,Category,Subcategory,Level_1_Maturity,Level_2_Maturity,Level_3_Maturity,Level_4_Maturity
GV.OC-01,Org Context,The organizational mission is understood and informs cybersecurity risk management,Govern,Organizational Context,Security decisions are made without clear understanding of organizational goals. Cybersecurity is treated as a separate function from business strategy.,"Security teams are somewhat aware of business objectives, but alignment is informal and driven by incident response needs.",Cybersecurity goals are formally aligned with business objectives through documented frameworks. Security initiatives are mapped to mission priorities.,Security risk management is embedded in enterprise governance. Strategy reviews incorporate cybersecurity input. Dashboards track alignment of controls with business KPIs.
GV.OC-02,Org Context,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered",Govern,Organizational Context,No formal understanding of internal or external stakeholder cybersecurity expectations. Stakeholder identification is adhoc and incomplete.,Basic stakeholder mapping exists with general needs documented. External stakeholders consulted during major changes but engagement is reactive.,Comprehensive stakeholder registry with documented security expectations. Regular engagement through formal channels like risk committees and partner meetings.,Automated systems track evolving stakeholder needs through continuous engagement. Risk decisions incorporate real-time stakeholder input via integrated platforms.
GV.OC-03,Org Context,"Legal, regulatory, and contractual requirements regarding cybersecurity — including privacy and civil liberties obligations — are understood and managed",Govern,Organizational Context,Compliance obligations are only identified after violations occur. No systematic tracking of evolving regulatory landscape.,"Basic awareness of major regulations like GDPR, SOX. Annual compliance reviews occur but focus mainly on checkbox requirements.",Comprehensive compliance management system tracks all applicable requirements. Regular updates from legal counsel and industry groups inform risk strategies.,Dynamic compliance framework with automated regulatory change detection. Proactive engagement with regulators. Compliance by design in all systems.
GV.OC-04,Org Context,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated",Govern,Organizational Context,No documented critical security objectives. Success is defined as avoiding major breaches rather than achieving specific goals.,High-level security objectives exist but lack measurable targets. Annual planning includes security goals but tracking is inconsistent.,SMART objectives cascade from business strategy to operational teams. Quarterly reviews assess progress with clear accountability structures.,Real-time objective tracking with predictive analytics for goal attainment. Automated alerts when objectives are at risk. Continuous recalibration based on threat landscape.
GV.OC-05,Org Context,"Outcomes, capabilities, and services that the organization depends on are understood and communicated",Govern,Organizational Context,No measurement of how security activities support mission objectives. Security viewed as cost center preventing business activities.,Some attempts to link security investments to business value but metrics are mostly technical rather than business-focused.,Clear value frameworks demonstrate security contribution to mission success. Regular reporting shows risk reduction and enablement metrics.,Advanced analytics quantify security's mission impact. Real-time dashboards show security ROI. Automated optimization of controls for maximum mission support.
GV.RM-01,Risk Mgmt Strategy,Risk management objectives are established and agreed to by organizational stakeholders,Govern,Risk Management Strategy,No formal risk management strategy. Risk decisions are made adhoc by different groups using inconsistent approaches.,Basic risk management policy exists but implementation varies by department. Annual risk assessments follow a standard template.,Enterprise risk management framework with consistent methodologies. Risk strategy reviewed quarterly and communicated through multiple channels.,Adaptive risk strategy adjusts to changing conditions automatically. Machine learning optimizes risk responses. Strategy effectiveness measured continuously.
GV.RM-02,Risk Mgmt Strategy,"Risk appetite and risk tolerance statements are determined, communicated, and maintained",Govern,Risk Management Strategy,Risk tolerance is implicit and varies by individual. No documented appetite statements. Risk acceptance decisions lack consistency.,Generic risk appetite statement exists but doesn't translate to operational decisions. Some risk thresholds defined for critical systems.,Detailed risk appetite framework with specific tolerance levels by risk category. Regular training ensures consistent application across teams.,Dynamic risk tolerance adjusted based on business context. Automated controls enforce tolerance limits. Real-time risk exposure monitoring against appetite.
GV.RM-03,Risk Mgmt Strategy,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,Govern,Risk Management Strategy,Risk identification is reactive following incidents. No systematic approach to risk prioritization. Resources allocated to latest crisis.,Annual risk assessments identify major risks. Basic heat maps used for prioritization but methodology inconsistent.,Continuous risk assessment process with standardized scoring. Risk register actively maintained with clear prioritization criteria.,AI-enhanced risk scoring with predictive capabilities. Automated risk prioritization based on business impact modeling. Real-time risk landscape visualization.
GV.RM-04,Risk Mgmt Strategy,Strategic direction that describes appropriate risk response options is established and communicated,Govern,Risk Management Strategy,Risk response defaults to accepting or basic patching. No evaluation of response options or cost-benefit analysis.,Risk treatment options documented for high risks. Some consideration of alternative responses but implementation tracking weak.,Comprehensive risk response framework with clear decision criteria. Cost-benefit analysis drives response selection. Implementation tracked to closure.,Automated risk response optimization using portfolio theory. Dynamic response adjustment based on effectiveness metrics. Continuous improvement through ML.
GV.RM-05,Risk Mgmt Strategy,"Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties",Govern,Risk Management Strategy,No visibility into third-party risks. Vendor security assumed based on size or reputation. Issues discovered after breaches.,Basic vendor questionnaires for new contracts. Annual reviews of critical suppliers but many gaps in coverage remain.,Comprehensive third-party risk program with continuous monitoring. Risk-based vendor tiers determine assessment depth and frequency.,Real-time supply chain risk intelligence. Automated vendor risk scoring. Predictive analytics identify emerging third-party threats before impact.
GV.RM-06,Risk Mgmt Strategy,"A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated",Govern,Risk Management Strategy,Focus solely on threat mitigation. No consideration of how security investments could enable new opportunities.,Some recognition that good security enables digital initiatives but not formally tracked or optimized.,Formal process to identify security-enabled opportunities. Business cases include upside benefits. Security as competitive advantage.,Security innovation drives new revenue streams. Automated opportunity identification. Security capabilities marketed as business differentiators.
GV.RM-07,Risk Mgmt Strategy,"Strategic opportunities (i.e., positive risks) are characterized and included in organizational cybersecurity risk discussions",Govern,Risk Management Strategy,Risk analysis only updated during annual assessments or after major incidents. Changes in environment not reflected.,Quarterly risk reviews with some interim updates for major changes. Process exists but execution inconsistent.,Defined triggers automatically initiate risk analysis updates. Change management integrated with risk assessment processes.,Continuous risk analysis with real-time updates. AI detects subtle environmental changes requiring reanalysis. Automated risk model adjustments.
GV.RR-01,Roles, Resp, Auth,"Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving",Govern,Roles and Responsibilities,No formal governance structure. Security decisions made by IT without business input. Accountability unclear.,Basic security committee meets quarterly. CISO role defined but authority limited. Some board reporting on major incidents.,Comprehensive governance with board committee oversight. Clear escalation paths. Regular executive and board engagement on risk decisions.,Adaptive governance model with automated decision routing. Real-time governance effectiveness metrics. AI-supported decision recommendations.
GV.RR-02,Roles, Resp, Auth,"Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced",Govern,Roles and Responsibilities,Security responsibilities undefined or assumed. Role confusion during incidents. Many security tasks unassigned.,"Basic RACI for security tasks but many gaps. Job descriptions include some security duties. Responsibilities documented but not well communicated.",Comprehensive security RACI matrix integrated with HR systems. Clear accountability from board to individual contributors. Regular reviews ensure currency.,Dynamic role management adjusts to organizational changes automatically. Skills-based task routing. Automated gap analysis and remediation.
